tile_id,building_id,category,gt_height_m,base_shadow_m,base_height_m,base_error_m,m4_shadow_m,m4_height_m,m4_error_m,m4_status,m4_confidence,m4_term_reason,failure_mode
2_13,69,Medium,7.26,6.20,5.54,1.72,2.55,2.28,4.98,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,70,Medium,7.19,6.80,6.08,1.11,6.15,5.50,1.69,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_13,71,Medium,5.86,0.35,0.31,5.55,0.35,N/A,N/A,REJECTED,0.00,SHADOW_SUPPORT_LOST,NO_VALID_SHADOW
2_13,72,Small,0.00,2.20,1.97,1.97,1.95,1.74,1.74,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
2_14,1,Large,14.06,30.00,26.82,12.76,11.10,9.92,4.13,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,2,Small,2.16,13.55,12.12,9.96,4.50,4.02,1.86,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,3,Medium,5.56,30.00,26.82,21.26,5.35,4.78,0.78,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,4,Large,13.06,30.00,26.82,13.76,12.85,11.49,1.57,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,5,Medium,9.18,6.05,5.41,3.77,3.60,3.22,5.97,VALID,1.00,SHADOW_SUPPORT_LOST,FALSE_SHORT_SHADOW
2_14,6,Medium,9.47,30.00,26.82,17.35,8.60,7.69,1.78,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,7,Small,2.57,30.00,26.82,24.25,3.95,3.53,0.96,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,8,Medium,8.59,19.05,17.03,8.44,9.85,8.81,0.21,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,9,Large,16.69,20.90,18.69,2.00,7.75,6.93,9.76,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
2_14,10,Large,12.41,30.00,26.82,14.42,6.90,6.17,6.24,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
2_14,11,Medium,7.01,30.00,26.82,19.82,5.65,5.05,1.95,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,12,Medium,7.76,18.45,16.50,8.73,6.70,5.99,1.77,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,13,Medium,7.64,14.60,13.05,5.41,5.10,4.56,3.08,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,14,Large,14.82,30.00,26.82,12.01,21.70,19.40,4.59,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,15,Small,1.90,30.00,26.82,24.92,1.35,1.21,0.69,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,16,Small,1.83,21.40,19.13,17.31,3.25,2.91,1.08,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,17,Small,2.93,19.90,17.79,14.86,2.90,2.59,0.34,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,18,Medium,9.21,30.00,26.82,17.61,8.45,7.56,1.66,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,19,Small,2.47,13.30,11.89,9.42,1.85,1.65,0.82,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,20,Large,17.95,13.55,12.12,5.83,5.70,5.10,12.85,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
2_14,21,Small,2.24,28.00,25.03,22.79,4.05,3.62,1.38,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,22,Large,17.39,30.00,26.82,9.43,24.15,21.59,4.20,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,23,Medium,8.23,30.00,26.82,18.60,11.45,10.24,2.01,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,24,Small,2.34,30.00,26.82,24.49,4.00,3.58,1.24,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,25,Medium,8.09,30.00,26.82,18.73,7.90,7.06,1.03,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,26,Small,2.11,12.70,11.36,9.24,5.75,5.14,3.03,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,27,Small,2.18,21.50,19.22,17.04,1.10,0.98,1.20,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,28,Small,3.82,30.00,26.82,23.00,2.55,2.28,1.54,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_14,29,Medium,8.35,30.00,26.82,18.48,3.95,3.53,4.81,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_14,30,Medium,8.22,28.60,25.57,17.36,13.00,11.62,3.41,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
2_14,31,Medium,8.26,30.00,26.82,18.56,3.85,3.44,4.82,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,32,Large,12.54,30.00,26.82,14.28,12.35,11.04,1.50,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,33,Large,14.85,30.00,26.82,11.98,13.75,12.29,2.55,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,34,Small,2.71,30.00,26.82,24.11,3.85,3.44,0.73,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,35,Medium,8.25,30.00,26.82,18.57,10.45,9.34,1.09,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,36,Medium,7.15,30.00,26.82,19.68,9.95,8.90,1.75,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,37,Large,12.61,30.00,26.82,14.21,8.85,7.91,4.70,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,38,Small,2.74,30.00,26.82,24.09,2.50,2.24,0.50,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,39,Large,13.46,30.00,26.82,13.37,9.85,8.81,4.65,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,40,Small,2.09,20.75,18.55,16.46,1.15,1.03,1.06,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
2_14,41,Medium,10.52,30.00,26.82,16.30,6.90,6.17,4.35,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,1,Large,23.17,30.00,26.82,3.65,10.90,9.75,13.43,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,2,Small,3.95,30.00,26.82,22.87,30.00,26.82,22.87,LOW CONFIDENCE,0.30,REACHED_PHYSICAL_MAX_LIMIT,DARK_REGION_PENETRATION
3_10,3,Medium,10.68,7.65,6.84,3.84,2.80,2.50,8.18,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,4,Medium,9.05,30.00,26.82,17.78,2.50,2.24,6.81,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
3_10,5,Small,3.94,30.00,26.82,22.89,4.65,4.16,0.22,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,6,Medium,8.16,4.20,3.76,4.40,3.50,3.13,5.03,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,7,Large,17.40,13.95,12.47,4.92,5.15,4.60,12.79,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,8,Small,3.86,30.00,26.82,22.97,22.05,19.71,15.86,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_10,9,Medium,8.54,30.00,26.82,18.28,8.40,7.51,1.03,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,10,Large,15.65,3.40,3.04,12.61,2.95,2.64,13.01,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,11,Large,12.20,30.00,26.82,14.63,15.35,13.72,1.53,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,12,Medium,4.19,30.00,26.82,22.63,7.05,6.30,2.11,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,13,Medium,4.10,30.00,26.82,22.72,3.95,3.53,0.57,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,14,Small,3.99,27.40,24.50,20.51,5.20,4.65,0.66,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,15,Small,3.83,30.00,26.82,22.99,5.70,5.10,1.27,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,16,Medium,4.14,30.00,26.82,22.68,6.40,5.72,1.58,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,17,Small,3.65,30.00,26.82,23.18,2.40,2.15,1.50,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,18,Medium,4.01,30.00,26.82,22.81,8.45,7.56,3.54,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,19,Small,3.24,25.50,22.80,19.55,0.80,0.72,2.53,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,20,Small,3.19,24.90,22.26,19.07,2.40,2.15,1.05,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,21,Medium,4.00,30.00,26.82,22.82,5.10,4.56,0.56,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,22,Small,3.04,9.85,8.81,5.77,1.30,1.16,1.88,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,23,Medium,4.09,14.75,13.19,9.09,2.65,2.37,1.72,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,24,Small,3.10,30.00,26.82,23.72,2.05,1.83,1.27,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,25,Medium,4.76,30.00,26.82,22.06,6.60,5.90,1.14,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,26,Small,3.18,30.00,26.82,23.64,2.45,2.19,0.99,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,27,Small,3.69,30.00,26.82,23.14,2.90,2.59,1.10,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,28,Small,0.00,5.70,5.10,5.10,1.15,1.03,1.03,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,29,Small,0.00,0.60,0.54,0.54,0.20,N/A,N/A,REJECTED,0.00,LOCAL_GRADIENT_STEP,NO_VALID_SHADOW
3_10,30,Small,2.97,2.90,2.59,0.37,2.15,1.92,1.04,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,31,Medium,5.42,30.00,26.82,21.41,4.90,4.38,1.04,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,32,Small,0.88,20.20,18.06,17.18,13.65,12.20,11.32,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_LONG_SHADOW
3_10,33,Large,14.64,30.00,26.82,12.18,6.05,5.41,9.23,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,34,Medium,4.96,17.05,15.24,10.28,9.90,8.85,3.89,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,35,Small,0.93,30.00,26.82,25.89,19.65,17.57,16.64,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_10,36,Medium,4.60,5.60,5.01,0.40,5.20,4.65,0.05,VALID,0.99,SHADOW_SUPPORT_LOST,NONE
3_10,37,Medium,11.96,30.00,26.82,14.87,11.60,10.37,1.59,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,38,Large,13.75,30.00,26.82,13.07,8.30,7.42,6.33,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
3_10,39,Large,13.62,30.00,26.82,13.20,6.95,6.21,7.41,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,40,Medium,10.77,30.00,26.82,16.05,8.75,7.82,2.95,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,41,Medium,10.63,30.00,26.82,16.19,5.95,5.32,5.31,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
3_10,42,Medium,11.47,30.00,26.82,15.36,7.35,6.57,4.90,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,43,Medium,10.68,30.00,26.82,16.15,7.80,6.97,3.70,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,44,Large,13.88,30.00,26.82,12.94,30.00,26.82,12.94,LOW CONFIDENCE,0.30,REACHED_PHYSICAL_MAX_LIMIT,DARK_REGION_PENETRATION
3_10,45,Medium,5.18,30.00,26.82,21.64,6.55,5.86,0.67,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,46,Medium,9.43,30.00,26.82,17.39,9.45,8.45,0.98,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,47,Large,14.13,30.00,26.82,12.70,12.30,11.00,3.13,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,48,Medium,10.73,30.00,26.82,16.09,5.45,4.87,5.86,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_SHORT_SHADOW
3_10,49,Medium,11.60,30.00,26.82,15.22,11.10,9.92,1.68,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_10,50,Large,13.34,30.00,26.82,13.49,7.50,6.71,6.63,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,51,Large,15.44,30.00,26.82,11.38,5.10,4.56,10.88,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_10,52,Medium,11.06,26.95,24.10,13.03,9.80,8.76,2.30,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,53,Small,1.09,23.05,20.61,19.52,8.90,7.96,6.87,VALID,1.00,RELATIVE_INTENSITY_STEP,FALSE_LONG_SHADOW
3_10,54,Small,3.75,13.25,11.85,8.10,5.15,4.60,0.86,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,55,Small,1.41,12.95,11.58,10.16,5.80,5.19,3.77,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_10,56,Small,2.81,9.20,8.23,5.42,7.10,6.35,3.54,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
3_10,57,Small,2.34,8.40,7.51,5.17,6.70,5.99,3.65,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
3_10,58,Medium,10.62,4.10,3.67,6.96,2.00,1.79,8.83,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,1,Large,16.26,22.15,19.80,3.55,6.65,5.95,10.31,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,2,Medium,11.93,8.90,7.96,3.97,1.70,1.52,10.41,VALID,0.94,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,3,Large,18.16,30.00,26.82,8.66,10.65,9.52,8.64,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,4,Large,16.85,30.00,26.82,9.97,16.10,14.40,2.45,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_11,5,Large,23.16,30.00,26.82,3.66,13.40,11.98,11.18,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,6,Medium,10.22,30.00,26.82,16.61,30.00,26.82,16.61,LOW CONFIDENCE,0.30,REACHED_PHYSICAL_MAX_LIMIT,DARK_REGION_PENETRATION
3_11,7,Medium,11.12,30.00,26.82,15.71,30.00,26.82,15.71,LOW CONFIDENCE,0.30,REACHED_PHYSICAL_MAX_LIMIT,DARK_REGION_PENETRATION
3_11,8,Medium,11.31,30.00,26.82,15.52,30.00,26.82,15.52,LOW CONFIDENCE,0.30,REACHED_PHYSICAL_MAX_LIMIT,DARK_REGION_PENETRATION
3_11,9,Small,3.62,4.80,4.29,0.67,1.65,1.48,2.14,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_11,10,Small,3.70,6.50,5.81,2.11,1.80,1.61,2.09,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_11,11,Small,3.52,16.35,14.62,11.10,7.10,6.35,2.83,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_11,12,Medium,10.90,30.00,26.82,15.93,9.75,8.72,2.18,VALID,0.99,LOCAL_GRADIENT_STEP,NONE
3_11,13,Medium,9.52,30.00,26.82,17.30,13.40,11.98,2.46,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_11,14,Medium,11.10,30.00,26.82,15.72,5.35,4.78,6.32,VALID,0.99,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,15,Large,14.29,30.00,26.82,12.54,7.30,6.53,7.76,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,16,Large,21.79,13.35,11.94,9.86,3.40,3.04,18.75,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,17,Medium,10.59,30.00,26.82,16.23,6.10,5.45,5.14,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,18,Small,3.19,30.00,26.82,23.63,2.65,2.37,0.82,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_11,19,Medium,5.70,30.00,26.82,21.13,20.15,18.02,12.32,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_11,20,Medium,7.91,30.00,26.82,18.92,11.50,10.28,2.38,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_11,21,Small,1.02,30.00,26.82,25.81,10.95,9.79,8.77,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_11,22,Medium,6.05,30.00,26.82,20.78,15.75,14.08,8.04,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_11,23,Medium,7.92,30.00,26.82,18.90,12.80,11.44,3.52,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_11,24,Large,12.20,2.05,1.83,10.36,0.75,0.67,11.53,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_11,25,Medium,4.09,30.00,26.82,22.73,10.30,9.21,5.12,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_11,26,Medium,10.43,30.00,26.82,16.40,7.60,6.80,3.63,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_11,27,Medium,10.83,16.60,14.84,4.02,5.45,4.87,5.95,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,1,Medium,7.91,30.00,26.82,18.91,5.85,5.23,2.68,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_12,2,Large,13.19,30.00,26.82,13.64,3.95,3.53,9.65,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,3,Large,14.97,30.00,26.82,11.86,9.95,8.90,6.07,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,4,Medium,10.87,30.00,26.82,15.96,15.15,13.55,2.68,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,5,Medium,10.84,30.00,26.82,15.98,13.70,12.25,1.41,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,6,Medium,11.53,30.00,26.82,15.30,8.15,7.29,4.24,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,7,Medium,5.48,30.00,26.82,21.34,7.45,6.66,1.18,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_12,8,Medium,7.56,30.00,26.82,19.27,6.65,5.95,1.61,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,9,Medium,9.69,30.00,26.82,17.13,9.10,8.14,1.55,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,10,Medium,11.42,11.30,10.10,1.31,9.80,8.76,2.65,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,11,Medium,9.27,30.00,26.82,17.55,10.80,9.66,0.39,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_12,12,Large,12.61,30.00,26.82,14.21,12.90,11.53,1.08,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,13,Small,1.73,30.00,26.82,25.09,3.20,2.86,1.13,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,14,Medium,8.58,30.00,26.82,18.25,11.15,9.97,1.39,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,15,Small,0.00,30.00,26.82,26.82,10.25,9.16,9.16,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,16,Medium,7.26,30.00,26.82,19.56,5.85,5.23,2.03,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,17,Small,3.42,30.00,26.82,23.40,1.50,1.34,2.08,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,18,Medium,4.62,22.85,20.43,15.81,15.10,13.50,8.88,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,19,Small,3.28,30.00,26.82,23.54,2.80,2.50,0.78,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,20,Large,24.49,30.00,26.82,2.33,30.00,26.82,2.33,LOW CONFIDENCE,0.30,REACHED_PHYSICAL_MAX_LIMIT,NONE
3_12,21,Medium,9.97,30.00,26.82,16.85,15.20,13.59,3.62,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,22,Large,16.62,30.00,26.82,10.21,14.20,12.70,3.92,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,23,Large,12.47,30.00,26.82,14.35,10.95,9.79,2.68,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,24,Small,0.02,30.00,26.82,26.80,10.40,9.30,9.27,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,25,Medium,8.15,30.00,26.82,18.68,12.45,11.13,2.99,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,26,Large,15.02,30.00,26.82,11.81,13.50,12.07,2.95,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,27,Small,0.00,30.00,26.82,26.82,5.25,4.69,4.69,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,28,Large,15.78,29.95,26.78,11.00,9.90,8.85,6.93,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,29,Small,1.49,30.00,26.82,25.33,20.05,17.93,16.44,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,30,Large,14.67,30.00,26.82,12.15,11.20,10.01,4.66,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_12,31,Medium,11.56,30.00,26.82,15.26,7.00,6.26,5.30,VALID,0.99,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,32,Small,0.22,9.85,8.81,8.59,5.80,5.19,4.97,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,33,Small,0.56,6.15,5.50,4.94,4.15,3.71,3.15,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,34,Medium,9.99,30.00,26.82,16.83,18.10,16.18,6.19,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,35,Large,19.60,30.00,26.82,7.22,15.45,13.81,5.79,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,36,Medium,11.16,30.00,26.82,15.66,6.20,5.54,5.62,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,37,Medium,11.39,30.00,26.82,15.44,8.65,7.73,3.65,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,38,Medium,11.89,30.00,26.82,14.94,23.35,20.88,8.99,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,39,Small,0.75,30.00,26.82,26.08,1.65,1.48,0.73,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,40,Medium,8.90,30.00,26.82,17.92,13.65,12.20,3.30,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,41,Small,0.00,6.40,5.72,5.72,2.35,2.10,2.10,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,42,Medium,9.62,30.00,26.82,17.20,1.80,1.61,8.01,VALID,0.97,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,43,Small,1.14,14.95,13.37,12.22,5.70,5.10,3.95,VALID,1.00,RELATIVE_INTENSITY_STEP,NONE
3_12,44,Large,14.12,30.00,26.82,12.70,11.70,10.46,3.66,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,45,Small,2.34,30.00,26.82,24.48,12.60,11.27,8.92,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,46,Medium,7.01,30.00,26.82,19.82,9.60,8.58,1.58,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,47,Small,1.71,29.30,26.20,24.49,2.75,2.46,0.75,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,48,Small,3.92,30.00,26.82,22.90,16.50,14.75,10.83,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,49,Medium,6.29,29.80,26.64,20.36,1.85,1.65,4.63,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,50,Large,18.27,16.40,14.66,3.61,3.70,3.31,14.97,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,51,Small,0.00,30.00,26.82,26.82,1.85,1.65,1.65,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,52,Medium,5.88,28.85,25.79,19.92,7.00,6.26,0.38,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,53,Medium,4.12,28.00,25.03,20.92,10.35,9.25,5.14,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_LONG_SHADOW
3_12,54,Medium,7.13,21.20,18.95,11.82,6.55,5.86,1.28,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,55,Medium,6.53,12.10,10.82,4.29,3.60,3.22,3.31,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,56,Large,14.22,16.40,14.66,0.44,7.50,6.71,7.52,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_12,57,Medium,5.33,2.90,2.59,2.73,2.50,2.24,3.09,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_12,58,Small,0.00,6.35,5.68,5.68,4.75,4.25,4.25,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
3_12,59,Medium,7.51,4.75,4.25,3.27,4.50,4.02,3.49,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
3_13,1,Large,12.91,18.30,16.36,3.45,3.80,3.40,9.52,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_13,2,Small,3.99,7.00,6.26,2.27,6.05,5.41,1.42,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_13,3,Large,15.61,30.00,26.82,11.22,20.90,18.69,3.08,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
3_13,4,Medium,6.02,7.55,6.75,0.73,7.55,6.75,0.73,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
3_13,5,Large,13.35,13.70,12.25,1.10,8.55,7.64,5.70,VALID,1.00,LOCAL_GRADIENT_STEP,FALSE_SHORT_SHADOW
3_13,6,Medium,8.56,6.30,5.63,2.93,6.20,5.54,3.02,VALID,1.00,SHADOW_SUPPORT_LOST,NONE
3_13,7,Medium,6.92,21.90,19.58,12.66,7.95,7.11,0.18,VALID,1.00,LOCAL_GRADIENT_STEP,NONE
